"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2024","75.622902","75.911697","76.441200","75.482697","","-0.34%"
"10/09/2024","75.878502","75.662598","78.494247","75.145798","","0.33%"
"10/08/2024","75.629501","75.186302","75.814400","74.865448","","0.76%"
"10/07/2024","75.057701","74.363853","75.512299","74.363853","","0.98%"
"10/04/2024","74.331200","74.146950","75.222954","73.999901","","0.19%"
"10/03/2024","74.193802","74.972900","75.064697","73.879150","","-1.00%"
"10/02/2024","74.940002","75.235550","76.148598","73.516602","","-0.34%"
"10/01/2024","75.195297","72.998451","75.339203","72.763000","","3.05%"
"09/30/2024","72.966301","74.181549","74.353348","72.205902","","-1.59%"
"09/27/2024","74.148804","72.718246","74.211952","72.342102","","2.01%"
"09/26/2024","72.686203","72.505447","72.980797","71.752800","","0.47%"
"09/25/2024","72.346802","72.808502","73.090248","71.525650","","-0.52%"
"09/24/2024","72.724701","71.661049","73.388199","71.654602","","1.39%"
"09/23/2024","71.728699","72.546097","73.313148","71.760353","","-1.08%"
"09/20/2024","72.514099","72.436996","73.185448","72.271049","","0.15%"
"09/19/2024","72.404999","73.479301","73.689102","71.948700","","-1.43%"
"09/18/2024","73.456902","71.857353","73.665848","71.395851","","2.27%"
"09/17/2024","71.825600","71.801804","72.001747","70.853500","","0.51%"
"09/16/2024","71.458504","70.589600","71.950203","70.427849","","1.28%"
"09/13/2024","70.558403","70.005997","71.775551","69.845596","","1.18%"
"09/12/2024","69.738403","72.020798","72.082199","69.887703","","-3.13%"
"09/11/2024","71.988899","71.700302","72.665497","71.244148","","0.45%"
"09/10/2024","71.668503","71.373398","72.279999","70.969597","","0.46%"
"09/09/2024","71.341698","71.141151","72.028748","70.639000","","0.33%"
"09/06/2024","71.109596","69.444649","71.327454","69.444649","","2.44%"
"09/05/2024","69.413803","69.169502","71.691353","69.011147","","0.40%"
"09/04/2024","69.138603","69.474449","71.154449","68.940002","","-0.42%"
"09/03/2024","69.427399","71.044052","71.439598","68.840202","","-2.23%"
"09/02/2024","71.012398","71.716499","72.634247","70.411102","","-0.94%"
"08/30/2024","71.684601","72.475151","73.071053","71.515900","","-1.58%"
"08/29/2024","72.838799","72.195351","72.997597","71.841400","","0.94%"
"08/28/2024","72.163300","72.290901","72.795502","71.857399","","-0.12%"
"08/27/2024","72.246696","72.614403","72.907700","71.787498","","-0.46%"
